id, deeplink,thumbnail_img_src,has_motiv,motiv,motivkategorie
"406","https://www.otto.de/p/name-it-nitivy-oberteil-mit-kurzen-aermeln-667943502/#variationId=667943507","https://i.otto.de/i/otto/23672143?$001PICT36$","1","Frau","Mensch"
"1091","https://www.otto.de/p/name-it-nitdanita-oberteil-mit-kurzen-aermeln-678245430/#variationId=678245432","https://i.otto.de/i/otto/24526977?$001PICT36$","1","Frau","Mensch"
"1346","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-artwork-692883645/#variationId=693532122","https://i.otto.de/i/otto/26785503?$001PICT36$","1","Frau","Mensch"
"1447","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-artwork-693335857/#variationId=693335859","https://i.otto.de/i/otto/26796873?$001PICT36$","1","Frau","Mensch"
"1356","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-artwork-711893771/#variationId=711894353","https://i.otto.de/i/otto/27284944?$001PICT36$","1","Frau","Mensch"
"1449","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-print-693335765/#variationId=693335766","https://i.otto.de/i/otto/26803180?$001PICT36$","1","Frau","Mensch"
"1458","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-artwork-692883645/#variationId=693532122","https://i.otto.de/i/otto/26866782?$001PICT36$","1","Frau","Mensch"
"1608","https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2012220/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1527515097/2012220-1-08.jpg","1","Frau","Mensch"
"725","https://www.c-and-a.com/de/de/shop/langarmshirt-bio-baumwolle-glanz-effekt-2012361/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530715297/2012361-1-08.jpg","1","Frau","Mensch"
"1820","https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2012334/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1528304704/2012334-1-08.jpg","1","Frau","Mensch"
"1669","https://www.c-and-a.com/de/de/shop/langarmshirt-bio-baumwolle-glanz-effekt-2012410/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530805464/2012410-1-08.jpg","1","Frau","Mensch"
"2933","https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2028390/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530632660/2028390-1-01.jpg","1","Frau","Mensch"
"2950","https://www.otto.de/p/name-it-nitivy-oberteil-mit-kurzen-aermeln-667943502/#variationId=667943507","https://i.otto.de/i/otto/23672137?$001PICT36$","1","Frau","Mensch"
"4112","https://www.otto.de/p/name-it-print-oberteil-mit-kurzen-aermeln-678124689/#variationId=678124693","https://i.otto.de/i/otto/24532464?$001PICT36$","1","Frau","Mensch"
