id,deeplink_href,thumbnail_img_src,title,has_motiv,has_glitzer,geschlecht,shop,colors_palette_id,is_primary,R,G,B,H,S,V,HEX,name_de,name_en,parent_name_de_2, R_palette, G_palette, B_palette, H_palette, S_palette, V_palette, weight_parent_color
1605,https://www.c-and-a.com/de/de/shop/kurzarmshirt-cradle-to-cradle-gold-zertifiziert-2016986/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1527172156/2016986-1-08.jpg",Palomino,1,0,m,c_und_a,36,0,71,71,65,60,8,28,#2f4f4f,dunkles Schiefergrau,darkslategrey,grau,47,79,79,180,41,31,0.25
1605,https://www.c-and-a.com/de/de/shop/kurzarmshirt-cradle-to-cradle-gold-zertifiziert-2016986/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1527172156/2016986-1-08.jpg",Palomino,1,0,m,c_und_a,51,0,140,128,116,30,17,55,808080,Grau,gray ,grau,128,128,128,0,0,50,0.25
1605,https://www.c-and-a.com/de/de/shop/kurzarmshirt-cradle-to-cradle-gold-zertifiziert-2016986/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1527172156/2016986-1-08.jpg",Palomino,1,0,m,c_und_a,48,1,234,234,244,240,4,96,#f8f8ff,Geisterweiss,ghostwhite,weiss,248,248,255,240,3,100,0.5
1606,https://www.c-and-a.com/de/de/shop/langarmshirt-bio-baumwolle-2010348/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1533226265/2010348-1-01.jpg",Here and There,1,0,m,c_und_a,130,0,96,126,169,215,43,66,#4682b4,Stahlblau,steelblue,blau,70,130,180,207,61,71,0.25
1606,https://www.c-and-a.com/de/de/shop/langarmshirt-bio-baumwolle-2010348/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1533226265/2010348-1-01.jpg",Here and There,1,0,m,c_und_a,8,0,26,26,34,240,24,13,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.25
1606,https://www.c-and-a.com/de/de/shop/langarmshirt-bio-baumwolle-2010348/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1533226265/2010348-1-01.jpg",Here and There,1,0,m,c_und_a,36,1,54,56,65,229,17,25,#2f4f4f,dunkles Schiefergrau,darkslategrey,grau,47,79,79,180,41,31,0.5
1607,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-2013030/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530545852/2013030-1-08.jpg",Palomino,1,0,m,c_und_a,41,0,65,65,72,240,10,28,#696969,Dunkelgrau,dimgrey,grau,105,105,105,0,0,41,0.5
1607,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-2013030/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530545852/2013030-1-08.jpg",Palomino,1,0,m,c_und_a,124,1,200,199,194,50,3,78,#c0c0c0,Silber,silver,grau,192,192,192,0,0,75,0.5
1608,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-2011569/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1528463027/2011569-1-01.jpg",Here and There,1,0,f,c_und_a,41,0,71,62,65,340,13,28,#696969,Dunkelgrau,dimgrey,grau,105,105,105,0,0,41,0.25
1608,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-2011569/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1528463027/2011569-1-01.jpg",Here and There,1,0,f,c_und_a,124,0,196,188,187,7,5,77,#c0c0c0,Silber,silver,grau,192,192,192,0,0,75,0.25
